geo_name,year,age_first_marriage
Australia,1950,22.6
Austria,1950,25.3
Canada,1950,22.5
China,1950,18.68
France,1950,23.32
Japan,1950,23.6
Mali,1950,18
Netherlands,1950,25.9
New Zealand,1950,23.3
Poland,1950,24.23
Spain,1950,26.43
Switzerland,1950,25.59
United Kingdom,1950,23.93
United States,1950,20.3
Bangladesh,1951,14.4
Greece,1951,25.9
United Kingdom,1951,23.78
Italy,1952,25.08
United Kingdom,1952,23.7
Sri Lanka,1953,20.9
Algeria,1954,19.6
Belgium,1954,23.32
Germany,1954,23.925
Albania,1955,21
Australia,1955,22.1
Canada,1955,22.2
China,1955,19.07
Denmark,1955,23.09
Finland,1955,24.03
India,1955,15.43
Japan,1955,24.7
Malaysia,1955,19.4
New Zealand,1955,22.3
Taiwan,1955,21.1
Thailand,1955,22.1
Tunisia,1956,19.5
Romania,1957,22.56
"Yemen, Rep.",1957,16.7
United Kingdom,1958,22.76
Niger,1959,15.7858504674993
Australia,1960,21.6
Austria,1960,24.01
Belgium,1960,22.84
Brunei,1960,19.7
Bulgaria,1960,21.32
Canada,1960,21.8
China,1960,19.57
Czech rep.,1960,21.98
Egypt,1960,19
"Hong Kong, China",1960,21.9
Hungary,1960,21.99
Indonesia,1960,18.6
Japan,1960,25
"Korea, Rep.",1960,21.7
"macao, China",1960,24.1
Morocco,1960,18
Namibia,1960,21.7501387209283
Nepal,1960,15.8
New Zealand,1960,21.8
Norway,1960,23.67
Pakistan,1960,18.4
Philippines,1960,22.3
Slovak Republic,1960,21.98
Swaziland,1960,21.2
Sweden,1960,25
Thailand,1960,21.6
United States,1960,20.3
Virgin Islands (U.S.),1960,20.828148638441
Bangladesh,1961,13.9
Gabon,1961,17.6608609605473
Greece,1961,25.5
Cambodia,1962,21.267772643983
Sri Lanka,1963,22.1
Chad,1964,16.4629140510292
Suriname,1964,18.6180375680173
Australia,1965,21.2
Bangladesh,1965,14.8
Canada,1965,21.5
China,1965,19.74
"Hong Kong, China",1965,22.5
India,1965,17.1
Japan,1965,24.8
New Zealand,1965,21.5
Poland,1965,23.43
Singapore,1965,23.6
Taiwan,1965,21.8
Algeria,1966,18
Iran,1966,18.4
Tunisia,1966,20.8
French Guiana,1967,24.4315684222029
Guadeloupe,1967,25.4470122895022
Malta,1967,24.0081643649996
Martinique,1967,26.1615507630494
West Bank and Gaza,1967,21.9272705324473
United Kingdom,1968,22.17
Kenya,1969,19.2038761840587
New Caledonia,1969,21.6256828025783
Swaziland,1969,23.9
Uganda,1969,17.7
Zambia,1969,18.2344836461533
Albania,1970,21.5
Algeria,1970,19.3
Angola,1970,19.3865679534638
Argentina,1970,23.1086186893428
Australia,1970,21.1
Austria,1970,22.88
Bahamas,1970,22.4460809230886
Barbados,1970,28.5170807453416
Belgium,1970,22.35
Belize,1970,22.6178390137781
Brazil,1970,22.9627685382585
Bulgaria,1970,21.44
Canada,1970,21.7
Chile,1970,23.4246677603613
China,1970,20.19
"Congo, Dem. Rep.",1970,20.0235380360048
"Congo, Rep.",1970,22.5726023382734
Cote d'Ivoire,1970,18.723867994114
Cuba,1970,19.4784152055175
Czech rep.,1970,21.72
Denmark,1970,22.75
Dominican rep.,1970,19.5793136614812
Equatorial Guinea,1970,21.6914996755856
France,1970,22.61
Guyana,1970,21.5139154162778
Italy,1970,23.94
Jamaica,1970,21.0555714574019
Japan,1970,24.6539282917614
"Korea, Rep.",1970,23.2782937632907
Kuwait,1970,19.5532125933921
Lebanon,1970,23.1754574811625
Liberia,1970,18.7300664465072
Luxembourg,1970,21.4041551456486
"macao, China",1970,25.6239686435262
Malaysia,1970,22.0621711836856
Mexico,1970,21.1896731571114
Mozambique,1970,19.8803952158086
Netherlands,1970,24.2
New Zealand,1970,21.4
Norway,1970,22.77
Panama,1970,20.4337646083952
Papua New Guinea,1970,20.6175837208039
Philippines,1970,22.8248974722227
Poland,1970,22.89
Portugal,1970,23.2478999209932
Puerto Rico,1970,22.1367587392182
Romania,1970,21.81
Rwanda,1970,20.1046601457148
Saint Lucia,1970,28.679749183773
Saint Vincent and the Grenadines,1970,28.3626239392686
Senegal,1970,18.6679512894824
Singapore,1970,24.2481698705288
Slovak Republic,1970,21.72
Solomon Islands,1970,22.3080205075543
Suriname,1970,18.6180375680173
Swaziland,1970,24.3
Sweden,1970,23.7
Switzerland,1970,22.87
Syria,1970,20.668661418578
Thailand,1970,21.9669917191437
Trinidad and Tobago,1970,24.0075541466629
United States,1970,20.8
Western Sahara,1970,17.974962184131
Botswana,1971,24.930840359296
Brunei,1971,22.3957250958292
Burundi,1971,21.7
El Salvador,1971,19.042852346442
Ghana,1971,19.4070351758794
Haiti,1971,22.4117152398692
"Hong Kong, China",1971,23.7959853305037
Indonesia,1971,19.2826819987516
Ireland,1971,23.5328207160465
Morocco,1971,19.6
Nepal,1971,17.4570456656349
Netherlands Antilles,1971,24.8561990847025
Nicaragua,1971,20.2197479051198
Samoa,1971,21.986445114861
Spain,1971,24.52
Sri Lanka,1971,23.4960748286743
Swaziland,1971,24.7
United Kingdom,1971,22.35
Venezuela,1971,20.1489576049675
Israel,1972,22.7955374032849
Mauritius,1972,22.4515257945355
Pakistan,1972,19.7055837563452
Paraguay,1972,21.6693662270501
Peru,1972,21.8069168593411
Swaziland,1972,24.6
Colombia,1973,22.4919742079165
Costa Rica,1973,21.7264492906534
Cyprus,1973,24.1804719687733
Guatemala,1973,19.7194911755388
Libya,1973,18.7309865503669
Myanmar,1973,21.2579617834395
Sudan,1973,18.7073176227478
Swaziland,1973,24.9
Bangladesh,1974,16.6
Ecuador,1974,21.2413228221406
Honduras,1974,19.9972944621251
Iceland,1974,21.9165727170237
Reunion,1974,22.4658774782878
Swaziland,1974,24.6
Bangladesh,1975,16.4
Burkina Faso,1975,17.4108560667187
Central African Republic,1975,18.3726687468079
China,1975,21.74
Finland,1975,23.5
Germany,1975,22.115
Hungary,1975,21.11
India,1975,18.39
Japan,1975,24.4
Jordan,1975,21.5
Madagascar,1975,20.2841273289683
Philippines,1975,23.2
Sri Lanka,1975,25.1
Swaziland,1975,24.6
Taiwan,1975,23.3
Tunisia,1975,22.7
Turkey,1975,20.1
United Arab Emirates,1975,18
Uruguay,1975,22.4820887286143
Bolivia,1976,22.1285510832652
Cameroon,1976,18.8032004366762
Egypt,1976,21.3865274293603
Fiji,1976,21.7331430223465
Iran,1976,19.7
Lesotho,1976,20.0701079087055
Mali,1976,18.0723942828694
Romania,1976,22.3
Swaziland,1976,24.7
Tonga,1976,24.3085974923986
Algeria,1977,20.9
Denmark,1977,23.75
French Polynesia,1977,25.8307597282273
Iraq,1977,20.8467423488188
Malawi,1977,17.8
Maldives,1977,17.549045491346
Mauritania,1977,19.4651056874806
Swaziland,1977,24.7
Cote d'Ivoire,1978,18.723867994114
Swaziland,1978,25.4
Tanzania,1978,19.1285754164781
Afghanistan,1979,17.8396832212604
Benin,1979,17.7091836734694
China,1979,23.12
Georgia,1979,23.1702127659574
Morocco,1979,21.6
Spain,1979,23.4
Swaziland,1979,24.7
Ukraine,1979,21.4459745762712
Vanuatu,1979,22.0384459901841
"Yemen, Rep.",1979,16.9
Austria,1980,23.15
Bangladesh,1980,16.4
Belgium,1980,22.24
Cape Verde,1980,23.6081936549822
Comoros,1980,19.7686407468903
France,1980,22.97
Guam,1980,22.1736583861485
Netherlands,1980,25.05
Norway,1980,23.52
Pakistan,1980,20.3
Papua New Guinea,1980,20.6175837208039
Philippines,1980,22.4
South Africa,1980,25.7485672179884
Sweden,1980,25.2
Switzerland,1980,23.14
Taiwan,1980,23.8
Thailand,1980,22.8
United Kingdom,1980,22.98
United States,1980,22
China,1981,22.82
Greece,1981,22.4588437035114
Sao Tome and Principe,1981,15.5571124983044
Bangladesh,1982,17.7
China,1982,22.62
Morocco,1982,22.2
Qatar,1982,21.4388120839734
Zimbabwe,1982,20.301701412548
Equatorial Guinea,1983,21.6914996755856
"Congo, Dem. Rep.",1984,20.0235380360048
"Congo, Rep.",1984,22.5726023382734
Ethiopia,1984,17.1
Romania,1984,22.25
Sri Lanka,1984,24.7
Tunisia,1984,24.3
Cuba,1985,22.1652065081352
