geo_name,year,mat_mortality_ratio
Australia,1950,109.1
Belgium,1950,148.3
Finland,1950,145.8
Ireland,1950,156
Japan,1950,176
Malaysia,1950,533.9
Netherlands,1950,105
Sri Lanka,1950,555.4
Sweden,1950,61.5
United Kingdom,1950,91.4
United States,1950,83
Australia,1951,105
Belgium,1951,112.4
Finland,1951,121.4
Ireland,1951,163.8
Japan,1951,173
Malaysia,1951,569.8
Netherlands,1951,85.3
Sri Lanka,1951,577.1
Sweden,1951,86.2
United Kingdom,1951,76
United States,1951,75
Australia,1952,94.2
Belgium,1952,89.7
Finland,1952,125.1
Germany,1952,183.7
Ireland,1952,142.3
Japan,1952,170
Malaysia,1952,520
Netherlands,1952,75.9
Sri Lanka,1952,579.8
Sweden,1952,59
United Kingdom,1952,67
United States,1952,68
Australia,1953,62.3
Belgium,1953,84.2
Finland,1953,133.2
Germany,1953,164.8
Ireland,1953,132.7
Japan,1953,181
Malaysia,1953,471.6
Netherlands,1953,78.2
Sri Lanka,1953,485
Sweden,1953,61.7
United Kingdom,1953,71
United States,1953,61
Australia,1954,68.7
Belgium,1954,94.3
Finland,1954,106.9
Germany,1954,148.2
Ireland,1954,110.3
Japan,1954,184
Malaysia,1954,475.9
Netherlands,1954,69.8
Sri Lanka,1954,456.7
Sweden,1954,54.2
United Kingdom,1954,65
United States,1954,52.4
Australia,1955,64
Belgium,1955,80.4
Finland,1955,104.7
Germany,1955,153.3
Ireland,1955,113.6
Japan,1955,179
Malaysia,1955,418
Netherlands,1955,61
Sri Lanka,1955,405.2
Sweden,1955,49.4
United Kingdom,1955,60.6
United States,1955,47
Australia,1956,56.1
Belgium,1956,57.3
Finland,1956,111.4
Germany,1956,139.2
Ireland,1956,85.6
Japan,1956,170
Malaysia,1956,396.2
Netherlands,1956,66
Sri Lanka,1956,376.5
Sweden,1956,35.2
United Kingdom,1956,53.4
United States,1956,40.9
Australia,1957,62.6
Belgium,1957,71.3
Finland,1957,88.5
Germany,1957,127.3
Ireland,1957,132.3
Japan,1957,171
Malaysia,1957,282.2
Netherlands,1957,61.3
Sri Lanka,1957,370.8
Sweden,1957,36.4
United Kingdom,1957,46
United States,1957,41
Australia,1958,49.9
Belgium,1958,59.3
Finland,1958,99.8
Germany,1958,118.4
Ireland,1958,102.5
Japan,1958,155
Malaysia,1958,277.3
Netherlands,1958,42.5
Sri Lanka,1958,385.5
Sweden,1958,30.3
United Kingdom,1958,44.3
United States,1958,37.6
Australia,1959,45.8
Belgium,1959,51.2
Finland,1959,67.3
Germany,1959,108.6
Ireland,1959,64.8
Japan,1959,146
Malaysia,1959,209.6
Netherlands,1959,51.3
Sri Lanka,1959,338.7
Sweden,1959,23.9
United Kingdom,1959,38.7
United States,1959,37.4
Australia,1960,52.5
Belgium,1960,40.7
Finland,1960,71.8
Germany,1960,106.3
Ireland,1960,57.6
Japan,1960,131
Malaysia,1960,242.3
Netherlands,1960,38.4
Sri Lanka,1960,302.5
Sweden,1960,38.2
United Kingdom,1960,39.5
United States,1960,37.1
Australia,1961,45
Belgium,1961,34.7
Finland,1961,54.9
Germany,1961,97.7
Ireland,1961,45.1
Japan,1961,120
Malaysia,1961,200.3
Netherlands,1961,37.7
Sri Lanka,1961,260.9
Sweden,1961,21.1
United Kingdom,1961,33.8
United States,1961,36.9
Australia,1962,35.9
Belgium,1962,32.9
Finland,1962,51.6
Germany,1962,87.1
Ireland,1962,43.7
Japan,1962,112
Malaysia,1962,230
Netherlands,1962,33.6
Sri Lanka,1962,295.9
Sweden,1962,13
United Kingdom,1962,35.6
United States,1962,35.2
Australia,1963,27.2
Belgium,1963,30.8
Finland,1963,49.8
Germany,1963,82.8
Ireland,1963,34.8
Japan,1963,103
Malaysia,1963,223.4
Netherlands,1963,33.5
Sri Lanka,1963,245.2
Sweden,1963,26.6
United Kingdom,1963,28.5
United States,1963,35.8
Australia,1964,32.7
Belgium,1964,29.8
Finland,1964,42.3
Germany,1964,69.4
Ireland,1964,46.8
Japan,1964,99
Malaysia,1964,206.5
Netherlands,1964,33.8
Sri Lanka,1964,278.5
Sweden,1964,19.6
United Kingdom,1964,25.9
United States,1964,33.3
Australia,1965,33.2
Belgium,1965,23.2
Finland,1965,25.7
Germany,1965,69.3
Ireland,1965,28.3
Japan,1965,88
Malaysia,1965,203.6
Netherlands,1965,25.1
Sri Lanka,1965,239.3
Sweden,1965,13.8
United Kingdom,1965,26.9
United States,1965,31.6
Australia,1966,29.5
Belgium,1966,27.1
Finland,1966,30.9
Germany,1966,65.1
Ireland,1966,28.9
Japan,1966,93
Malaysia,1966,180.1
Netherlands,1966,20.8
Sri Lanka,1966,221.9
Sweden,1966,10.5
United Kingdom,1966,26.1
United States,1966,29.1
Australia,1967,23.1
Belgium,1967,17.8
Finland,1967,20.7
Germany,1967,58.2
Ireland,1967,22.8
Japan,1967,71
Malaysia,1967,168.2
Netherlands,1967,26.4
Sri Lanka,1967,170.5
Sweden,1967,14
United Kingdom,1967,20.9
United States,1967,28
Australia,1968,28.2
Belgium,1968,21.8
Finland,1968,28.5
Germany,1968,51.6
Ireland,1968,36.1
Japan,1968,68
Malaysia,1968,169.2
Netherlands,1968,21.5
Sri Lanka,1968,179.3
Sweden,1968,8.8
United Kingdom,1968,23.4
United States,1968,24.5
Australia,1969,17.6
Belgium,1969,20.5
Finland,1969,14.8
Germany,1969,53.1
Ireland,1969,31.8
Japan,1969,58
Malaysia,1969,157.6
Netherlands,1969,20.8
Sri Lanka,1969,153.2
Sweden,1969,10.2
United Kingdom,1969,18.9
United States,1969,22.2
Australia,1970,20.6
Belgium,1970,20.4
Denmark,1970,6.9
Finland,1970,11.8
Germany,1970,51.8
Ireland,1970,29.3
Japan,1970,51.7
Malaysia,1970,143.3
Netherlands,1970,15.8
Sri Lanka,1970,144.9
Sweden,1970,9.4
United Kingdom,1970,18
United States,1970,20.8
Australia,1971,18.8
Belgium,1971,18
Denmark,1971,5.9
Finland,1971,10.8
Germany,1971,48.4
Ireland,1971,32.5
Japan,1971,46
Malaysia,1971,126.4
Netherlands,1971,12.4
Sri Lanka,1971,138.3
Sweden,1971,8.3
United Kingdom,1971,16.8
United States,1971,19.7
Australia,1972,14.1
Belgium,1972,15.4
Denmark,1972,4
Finland,1972,10.2
Germany,1972,46.4
Ireland,1972,26.1
Japan,1972,41.3
Malaysia,1972,112
Netherlands,1972,11.4
Sri Lanka,1972,130.1
Sweden,1972,5.9
United Kingdom,1972,15.4
United States,1972,17.6
Australia,1973,11.7
Belgium,1973,14.2
Denmark,1973,4.6
Finland,1973,9.1
Germany,1973,40.9
Ireland,1973,24.9
Japan,1973,38
Malaysia,1973,102.7
Netherlands,1973,11.7
Sri Lanka,1973,118.9
Sweden,1973,5.7
United Kingdom,1973,14.4
United States,1973,16.2
Australia,1974,9.4
Belgium,1974,14
Denmark,1974,5.1
Finland,1974,8.7
Germany,1974,39.9
Ireland,1974,13.6
Japan,1974,34
Malaysia,1974,94.8
Netherlands,1974,11.6
Sri Lanka,1974,108.6
Sweden,1974,4
United Kingdom,1974,13.3
United States,1974,14.2
Australia,1975,10.1
Belgium,1975,11.8
Denmark,1975,5.2
Finland,1975,7.6
Germany,1975,36.7
Ireland,1975,15.2
Japan,1975,30
Malaysia,1975,85.7
Netherlands,1975,9.9
Sri Lanka,1975,99.4
Sweden,1975,4.4
United Kingdom,1975,13.2
United States,1975,13.2
Australia,1976,8.9
Belgium,1976,9.7
Denmark,1976,4.5
Finland,1976,8.6
Germany,1976,36.7
Ireland,1976,11.8
Japan,1976,26
Malaysia,1976,79.9
Netherlands,1976,9.5
Sri Lanka,1976,98
Sweden,1976,5.8
United Kingdom,1976,13
United States,1976,12.4
Australia,1977,9.3
Belgium,1977,9.9
Denmark,1977,5.3
Finland,1977,6.1
Germany,1977,31.9
Ireland,1977,15
Japan,1977,23.7
Malaysia,1977,80.2
Netherlands,1977,9.5
Sri Lanka,1977,91.9
Sweden,1977,7.3
United Kingdom,1977,12.5
United States,1977,11.4
Australia,1978,7.6
