geo_name,year,seratio
Afghanistan,1970,17.544
Argentina,1970,103.284
Bhutan,1970,5.369
Botswana,1970,110.697
Brazil,1970,100.443
Brunei,1970,94.209
Chile,1970,101.491
Colombia,1970,102.706
Costa Rica,1970,99.956
El Salvador,1970,92.074
Fiji,1970,92.947
Guatemala,1970,80.204
Honduras,1970,99.052
Indonesia,1970,80.629
Kenya,1970,67.046
Lesotho,1970,146.825
Liberia,1970,45.296
Malaysia,1970,83.203
New Zealand,1970,98.106
Nicaragua,1970,101.438
Nigeria,1970,58.283
Panama,1970,98.887
Papua New Guinea,1970,57.03
Paraguay,1970,92.873
Peru,1970,85.268
Samoa,1970,98.805
Seychelles,1970,110.126
Solomon Islands,1970,62.822
Swaziland,1970,90.527
Tanzania,1970,63.315
Tonga,1970,98.589
Uruguay,1970,101.608
Vanuatu,1970,85.782
Zambia,1970,77.229
Zimbabwe,1970,81.032
Afghanistan,1971,16.904
Algeria,1971,59.732
Angola,1971,56.091
Argentina,1971,102.964
Austria,1971,93.677
Bahrain,1971,72.712
Barbados,1971,99.217
Belgium,1971,98.362
Benin,1971,43.587
Bermuda,1971,106.352
Bhutan,1971,23.329
Bolivia,1971,74.158
Botswana,1971,112.012
Brazil,1971,99.791
Brunei,1971,93.513
Bulgaria,1971,98.625
Burkina Faso,1971,56.471
Burundi,1971,47.43
Cambodia,1971,68.247
Cameroon,1971,71.013
Canada,1971,99.022
Central African Republic,1971,46.04
Chad,1971,31.29
Chile,1971,100.502
Colombia,1971,103.099
Comoros,1971,45.899
"Congo, Dem. Rep.",1971,55.322
"Congo, Rep.",1971,73.885
Costa Rica,1971,100.28
Cote d'Ivoire,1971,53.388
Czech Republic,1971,103.379
Djibouti,1971,41.626
Ecuador,1971,94.206
Egypt,1971,58.471
El Salvador,1971,91.262
Equatorial Guinea,1971,68.819
Ethiopia,1971,43.027
France,1971,103.287
Gabon,1971,83.976
Gambia,1971,40.845
Ghana,1971,76.212
Greece,1971,90.372
Grenada,1971,95.137
Guatemala,1971,81.727
Guinea,1971,42.558
Guinea-Bissau,1971,44.263
Guyana,1971,98.19
"Hong Kong, China",1971,92.659
Hungary,1971,91.942
Iceland,1971,91.905
India,1971,58.142
Indonesia,1971,80.031
Iran,1971,57.153
Iraq,1971,42.557
Ireland,1971,102.653
Italy,1971,91.674
Japan,1971,99.508
Jordan,1971,77.99
Kenya,1971,69.245
Kiribati,1971,86.138
South Korea,1971,88.726
Kuwait,1971,78.63
Lao,1971,57.977
Lebanon,1971,80.137
Liberia,1971,46.335
Libya,1971,55.243
Luxembourg,1971,99.274
"Macao, China",1971,95.914
Madagascar,1971,84.469
Mali,1971,52.039
Malta,1971,98.158
Mauritius,1971,92.82
Mexico,1971,88.245
Morocco,1971,52.132
Myanmar,1971,83.023
Netherlands,1971,94.1
New Zealand,1971,98.005
Nicaragua,1971,101.736
Niger,1971,54.013
