geo_name,geo,year,tfr
Afghanistan,afg,1950,7.57
Albania,alb,1950,5.87
Algeria,dza,1950,7.49
Angola,ago,1950,7.11
Antigua and Barbuda,atg,1950,4.45
Argentina,arg,1950,3.16
Armenia,arm,1950,4.53
Aruba,abw,1950,5.8
Australia,aus,1950,3.07
Austria,aut,1950,1.87
Azerbaijan,aze,1950,5.26
Bahamas,bhs,1950,3.98
Bahrain,bhr,1950,7.03
Bangladesh,bgd,1950,6.23
Barbados,brb,1950,4.52
Belarus,blr,1950,2.52
Belgium,bel,1950,2.31
Belize,blz,1950,6.69
Benin,ben,1950,5.75
Bhutan,btn,1950,6.67
Bolivia,bol,1950,6.72
Bosnia and Herzegovina,bih,1950,5.23
Botswana,bwa,1950,6.47
Brazil,bra,1950,6.18
Brunei,brn,1950,7.52
Bulgaria,bgr,1950,2.66
Burkina Faso,bfa,1950,6.03
Burundi,bdi,1950,6.82
Cambodia,khm,1950,6.95
Cameroon,cmr,1950,5.54
Canada,can,1950,3.45
Cape Verde,cpv,1950,6.5
Central African Republic,caf,1950,5.4
Chad,tcd,1950,6.06
Channel Islands,chanisl,1950,2.05
Chile,chl,1950,4.82
China,chn,1950,5.29
Colombia,col,1950,6.77
Comoros,com,1950,5.69
"Congo, Dem. Rep.",cod,1950,5.99
"Congo, Rep.",cog,1950,5.67
Costa Rica,cri,1950,6.15
Cote d'Ivoire,civ,1950,6.62
Croatia,hrv,1950,2.95
Cuba,cub,1950,4.76
Cyprus,cyp,1950,3.85
Czech Republic,cze,1950,2.89
Denmark,dnk,1950,2.58
Djibouti,dji,1950,6.3
Dominican Republic,dom,1950,7.51
Ecuador,ecu,1950,6.7
Egypt,egy,1950,6.65
El Salvador,slv,1950,6.19
Equatorial Guinea,gnq,1950,5.58
Eritrea,eri,1950,6.92
Estonia,est,1950,2.09
Ethiopia,eth,1950,7.35
Fiji,fji,1950,6.3
Finland,fin,1950,3.16
France,fra,1950,2.83
French Guiana,guf,1950,5.08
French Polynesia,pyf,1950,5.97
Gabon,gab,1950,5.15
Gambia,gmb,1950,5.23
Georgia,geo,1950,3.1
Germany,deu,1950,2.08
Ghana,gha,1950,6.37
Greece,grc,1950,2.36
Greenland,grl,1950,6.93
Grenada,grd,1950,5.18
Guadeloupe,glp,1950,5.62
Guam,gum,1950,5.44
Guatemala,gtm,1950,7.2
Guinea,gin,1950,5.98
Guinea-Bissau,gnb,1950,7.09
Guyana,guy,1950,5.48
Haiti,hti,1950,6.31
Honduras,hnd,1950,7.47
"Hong Kong, China",hkg,1950,4.47
Hungary,hun,1950,2.78
Iceland,isl,1950,3.62
India,ind,1950,5.9
Indonesia,idn,1950,5.35
Iran,irn,1950,6.92
Iraq,irq,1950,8.11
Ireland,irl,1950,3.48
Israel,isr,1950,4.52
Italy,ita,1950,2.45
Jamaica,jam,1950,3.8
Japan,jpn,1950,3.48
Jordan,jor,1950,7.56
Kazakhstan,kaz,1950,4.3
Kenya,ken,1950,7.36
Kiribati,kir,1950,5.75
North Korea,prk,1950,1.95
South Korea,kor,1950,4.46
Kuwait,kwt,1950,7.22
Kyrgyz Republic,kgz,1950,4.23
Lao,lao,1950,5.94
Latvia,lva,1950,2.01
Lebanon,lbn,1950,5.76
Lesotho,lso,1950,5.81
Liberia,lbr,1950,6.25
Libya,lby,1950,7.16
Lithuania,ltu,1950,2.78
Luxembourg,lux,1950,1.87
"Macao, China",mac,1950,3.89
"Macedonia, FYR",mkd,1950,4.73
Madagascar,mdg,1950,7.3
Malawi,mwi,1950,6.81
Malaysia,mys,1950,6.27
Maldives,mdv,1950,5.6
Mali,mli,1950,6.65
Malta,mlt,1950,4.21
Martinique,mtq,1950,5.64
Mauritania,mrt,1950,6.12
Mauritius,mus,1950,6.05
Mayotte,myt,1950,7.91
Mexico,mex,1950,6.66
"Micronesia, Fed. Sts.",fsm,1950,7.3
Moldova,mda,1950,3.48
Mongolia,mng,1950,5.5
Montenegro,mne,1950,4.32
Morocco,mar,1950,6.49
Mozambique,moz,1950,6.77
Myanmar,mmr,1950,6.03
Namibia,nam,1950,5.96
Nepal,npl,1950,5.98
Netherlands,nld,1950,3.1
Netherlands Antilles,ant,1950,5.8
New Caledonia,ncl,1950,5.22
New Zealand,nzl,1950,3.47
Nicaragua,nic,1950,6.88
Niger,ner,1950,7.04
Nigeria,nga,1950,6.36
Norway,nor,1950,2.52
Oman,omn,1950,7.25
Pakistan,pak,1950,6.6
Panama,pan,1950,5.68
Papua New Guinea,png,1950,6.23
Paraguay,pry,1950,6.49
Peru,per,1950,6.9
Philippines,phl,1950,6.76
Poland,pol,1950,3.6
Portugal,prt,1950,3.1
Puerto Rico,pri,1950,4.98
Qatar,qat,1950,6.97
Reunion,reu,1950,7.19
Romania,rou,1950,3.58
Russia,rus,1950,2.88
Rwanda,rwa,1950,7.92
St. Lucia,lca,1950,5.34
St. Vincent and the Grenadines,vct,1950,7.26
Samoa,wsm,1950,7.64
Sao Tome and Principe,stp,1950,6.23
